ID,NAME,LAT,LONG
1,Loughshinny,53.5455309656766,-6.07957923841913
2,Portmarnock,53.4346955409031,-6.12139599494721
3,Balbriggan,53.6109733218822,-6.18081396488917
4,Barnageeragh,53.5885669373796,-6.15165148946369
5,Skerries North,53.5818749746206,-6.11609906678778
6,Skerries South,53.5836202141075,-6.09977318315646
7,Rush North,53.5327442658192,-6.08366200374712
8,Rush South,53.5099044133921,-6.11487378412367
9,Portrane,53.5064413857312,-6.10637966448257
10,Portrane Tower Bay,53.4895006362467,-6.09683005638364
11,Donabate,53.4524081605609,-6.13503763151298
12,Malahide,53.4517054558089,-6.14746065863201
13,Sutton,53.3965970323263,-6.10753193128534
14,Claremount - Howth,53.3958197243787,-6.08870862710341
15,Blackrock,53.6166161887692,-6.18567922370395
